Codec,Quality,BPP,ViT_Accuracy,ResNet_Accuracy,ViT_Drop,ResNet_Drop,ViT_vs_ResNet
JPEG,jpeg_q10,0.2574154449588477,37.333333333333336,46.98765432098765,62.395061728395056,50.662345679012354,-9.654320987654316
JPEG,jpeg_q25,0.3416250321502058,63.333333333333336,67.1358024691358,36.395061728395056,30.51419753086421,-3.802469135802461
JPEG,jpeg_q50,0.44558963477366254,80.76543209876543,84.0,18.962962962962962,13.650000000000006,-3.23456790123457
JPEG,jpeg_q75,0.5922852366255144,92.8641975308642,91.58024691358025,6.864197530864189,6.069753086419752,1.2839506172839492
JPEG,jpeg_q90,0.8898188335905349,98.88888888888889,96.64197530864197,0.8395061728395063,1.008024691358031,2.246913580246911
JPEG,jpeg_q95,1.1987954925411524,99.65432098765432,97.30864197530865,0.07407407407407618,0.3413580246913597,2.34567901234567
Cheng2020,cheng2020-attn_q1,0.12654899691358024,31.679012345679013,34.2962962962963,68.04938271604938,63.35370370370371,-2.617283950617285
Cheng2020,cheng2020-attn_q2,0.1776832561728395,37.55555555555556,40.39506172839506,62.172839506172835,57.25493827160494,-2.8395061728395063
Cheng2020,cheng2020-attn_q3,0.2586728395061728,47.82716049382716,49.60493827160494,51.901234567901234,48.04506172839507,-1.7777777777777786
Cheng2020,cheng2020-attn_q4,0.3864023919753086,60.666666666666664,63.65432098765432,39.06172839506173,33.99567901234568,-2.9876543209876587
Cheng2020,cheng2020-attn_q5,0.5293846450617284,71.62962962962963,74.8395061728395,28.09876543209876,22.8104938271605,-3.209876543209873
Cheng2020,cheng2020-attn_q6,0.7211458333333334,81.48148148148148,82.46913580246914,18.24691358024691,15.180864197530866,-0.9876543209876587
MS-ILLM,msillm_q1,0.035,64.64197530864197,71.68518518518519,35.08641975308642,25.964814814814815,-7.043209876543216
MS-ILLM,msillm_q2,0.07,76.41975308641975,81.18888888888888,23.308641975308646,16.461111111111123,-4.769135802469137
MS-ILLM,msillm_q3,0.14,85.20987654320987,90.1037037037037,14.518518518518519,7.546296296296305,-4.893827160493828
MS-ILLM,msillm_q4,0.3,93.06172839506173,95.2925925925926,6.666666666666657,2.3574074074074076,-2.230864197530863
MS-ILLM,msillm_q5,0.45,96.74074074074075,96.88888888888889,2.9876543209876445,0.76111111111112,-0.14814814814813815
MS-ILLM,msillm_q6,0.9,98.41975308641975,97.75185185185185,1.308641975308646,-0.10185185185184764,0.6679012345678927
JPEG-AI,jpeg_ai_q1,0.13,74.54320987654322,77.72839506172839,25.185185185185176,19.921604938271614,-3.1851851851851762
JPEG-AI,jpeg_ai_q2,0.25,82.81057051123734,82.98345270437144,16.917824550491048,14.666547295628561,-0.17288219313410025
JPEG-AI,jpeg_ai_q3,0.5,86.12345679012346,85.45679012345678,13.604938271604937,12.193209876543222,0.6666666666666714
JPEG-AI,jpeg_ai_q4,0.75,87.62962962962963,86.74074074074075,12.098765432098759,10.909259259259258,0.8888888888888857
JPEG-AI,jpeg_ai_q5,1.0,88.98765432098766,87.82716049382717,10.740740740740733,9.82283950617284,1.1604938271604937
JPEG-AI,jpeg_ai_q6,1.5,89.95061728395062,88.12345679012346,9.777777777777771,9.52654320987655,1.827160493827165
